sbuid,testDateUtc,metric,value
115168305.0,2023-04-28T14:05:09.912Z,leftAvgForce,639.5
115168305.0,2023-04-28T14:05:09.912Z,leftImpulse,11546.405000000004
115168305.0,2023-04-28T14:05:09.912Z,leftMaxForce,678.75
115168305.0,2023-04-28T14:05:09.912Z,leftTorque,363.470625
115168305.0,2023-04-28T14:05:09.912Z,leftCalibration,0.0
115168305.0,2023-04-28T14:05:09.912Z,rightAvgForce,571.1666666666666
115168305.0,2023-04-28T14:05:09.912Z,rightImpulse,8997.50999999999
115168305.0,2023-04-28T14:05:09.912Z,rightMaxForce,597.25
115168305.0,2023-04-28T14:05:09.912Z,rightTorque,319.827375
115168305.0,2023-04-28T14:05:09.912Z,rightCalibration,0.0
115168305.0,2023-04-28T14:05:09.912Z,leftRepetitions,3.0
115168305.0,2023-04-28T14:05:09.912Z,rightRepetitions,3.0
115168305.0,2023-05-22T13:33:47.255Z,leftAvgForce,550.1666666666666
115168305.0,2023-05-22T13:33:47.255Z,leftImpulse,6490.225000000006
115168305.0,2023-05-22T13:33:47.255Z,leftMaxForce,577.25
115168305.0,2023-05-22T13:33:47.255Z,leftTorque,309.117375
115168305.0,2023-05-22T13:33:47.255Z,leftCalibration,0.0
115168305.0,2023-05-22T13:33:47.255Z,rightAvgForce,404.75
115168305.0,2023-05-22T13:33:47.255Z,rightImpulse,4225.250000000002
115168305.0,2023-05-22T13:33:47.255Z,rightMaxForce,418.0
115168305.0,2023-05-22T13:33:47.255Z,rightTorque,223.839
115168305.0,2023-05-22T13:33:47.255Z,rightCalibration,0.0
115168305.0,2023-05-22T13:33:47.255Z,leftRepetitions,3.0
115168305.0,2023-05-22T13:33:47.255Z,rightRepetitions,3.0
115168305.0,2023-06-29T14:07:25.397Z,leftAvgForce,590.75
115168305.0,2023-06-29T14:07:25.397Z,leftImpulse,12056.054999999957
115168305.0,2023-06-29T14:07:25.397Z,leftMaxForce,590.75
115168305.0,2023-06-29T14:07:25.397Z,leftTorque,316.346625
115168305.0,2023-06-29T14:07:25.397Z,leftCalibration,0.0
115168305.0,2023-06-29T14:07:25.397Z,rightAvgForce,527.25
115168305.0,2023-06-29T14:07:25.397Z,rightImpulse,8539.240000000009
115168305.0,2023-06-29T14:07:25.397Z,rightMaxForce,527.25
115168305.0,2023-06-29T14:07:25.397Z,rightTorque,282.342375
115168305.0,2023-06-29T14:07:25.397Z,rightCalibration,0.0
115168305.0,2023-06-29T14:07:25.397Z,leftRepetitions,1.0
115168305.0,2023-06-29T14:07:25.397Z,rightRepetitions,1.0
115168305.0,2023-06-15T13:55:30.989Z,leftAvgForce,413.08333333333337
115168305.0,2023-06-15T13:55:30.989Z,leftImpulse,6482.789999999996
115168305.0,2023-06-15T13:55:30.989Z,leftMaxForce,448.25
115168305.0,2023-06-15T13:55:30.989Z,leftTorque,240.037875
115168305.0,2023-06-15T13:55:30.989Z,leftCalibration,0.0
115168305.0,2023-06-15T13:55:30.989Z,rightAvgForce,342.16666666666663
115168305.0,2023-06-15T13:55:30.989Z,rightImpulse,4396.975000000001
115168305.0,2023-06-15T13:55:30.989Z,rightMaxForce,344.5
115168305.0,2023-06-15T13:55:30.989Z,rightTorque,184.47975
115168305.0,2023-06-15T13:55:30.989Z,rightCalibration,0.0
115168305.0,2023-06-15T13:55:30.989Z,leftRepetitions,3.0
115168305.0,2023-06-15T13:55:30.989Z,rightRepetitions,3.0
115168305.0,2023-07-11T13:28:49.165Z,leftAvgForce,656.5833333333333
115168305.0,2023-07-11T13:28:49.165Z,leftImpulse,12215.349999999986
115168305.0,2023-07-11T13:28:49.165Z,leftMaxForce,693.0
115168305.0,2023-07-11T13:28:49.165Z,leftTorque,364.8645
115168305.0,2023-07-11T13:28:49.165Z,leftCalibration,0.0
115168305.0,2023-07-11T13:28:49.165Z,rightAvgForce,475.25
115168305.0,2023-07-11T13:28:49.165Z,rightImpulse,7901.499999999999
115168305.0,2023-07-11T13:28:49.165Z,rightMaxForce,490.0
115168305.0,2023-07-11T13:28:49.165Z,rightTorque,257.985
115168305.0,2023-07-11T13:28:49.165Z,rightCalibration,0.0
115168305.0,2023-07-11T13:28:49.165Z,leftRepetitions,3.0
115168305.0,2023-07-11T13:28:49.165Z,rightRepetitions,3.0
115168305.0,2024-01-30T13:36:42.419Z,leftAvgForce,540.25
115168305.0,2024-01-30T13:36:42.419Z,leftImpulse,3218.629999999997
115168305.0,2024-01-30T13:36:42.419Z,leftMaxForce,540.25
115168305.0,2024-01-30T13:36:42.419Z,leftTorque,284.441625
115168305.0,2024-01-30T13:36:42.419Z,leftCalibration,0.0
115168305.0,2024-01-30T13:36:42.419Z,rightAvgForce,411.0
115168305.0,2024-01-30T13:36:42.419Z,rightImpulse,2334.0199999999995
115168305.0,2024-01-30T13:36:42.419Z,rightMaxForce,411.0
115168305.0,2024-01-30T13:36:42.419Z,rightTorque,216.3915
115168305.0,2024-01-30T13:36:42.419Z,rightCalibration,0.0
115168305.0,2024-01-30T13:36:42.419Z,leftRepetitions,1.0
115168305.0,2024-01-30T13:36:42.419Z,rightRepetitions,1.0
115168305.0,2024-03-07T13:23:56.135Z,leftAvgForce,605.5833333333333
115168305.0,2024-03-07T13:23:56.135Z,leftImpulse,7838.104999999987
115168305.0,2024-03-07T13:23:56.135Z,leftMaxForce,643.0
115168305.0,2024-03-07T13:23:56.135Z,leftTorque,338.5395
115168305.0,2024-03-07T13:23:56.135Z,leftCalibration,0.0
115168305.0,2024-03-07T13:23:56.135Z,rightAvgForce,590.8333333333334
115168305.0,2024-03-07T13:23:56.135Z,rightImpulse,6847.320000000005
115168305.0,2024-03-07T13:23:56.135Z,rightMaxForce,599.5
115168305.0,2024-03-07T13:23:56.135Z,rightTorque,315.63675
115168305.0,2024-03-07T13:23:56.135Z,rightCalibration,0.0
115168305.0,2024-03-07T13:23:56.135Z,leftRepetitions,3.0
115168305.0,2024-03-07T13:23:56.135Z,rightRepetitions,3.0
114962795.0,2022-01-28T13:25:13.353Z,leftAvgForce,293.5
114962795.0,2022-01-28T13:25:13.353Z,leftImpulse,2978.9149999999995
114962795.0,2022-01-28T13:25:13.353Z,leftMaxForce,305.75
114962795.0,2022-01-28T13:25:13.353Z,leftTorque,127.956375
114962795.0,2022-01-28T13:25:13.353Z,leftCalibration,0.0
114962795.0,2022-01-28T13:25:13.353Z,rightAvgForce,326.1666666666667
114962795.0,2022-01-28T13:25:13.353Z,rightImpulse,3700.984999999998
114962795.0,2022-01-28T13:25:13.353Z,rightMaxForce,348.75
114962795.0,2022-01-28T13:25:13.353Z,rightTorque,145.951875
114962795.0,2022-01-28T13:25:13.353Z,rightCalibration,0.0
114962795.0,2022-01-28T13:25:13.353Z,leftRepetitions,3.0
114962795.0,2022-01-28T13:25:13.353Z,rightRepetitions,3.0
114962795.0,2022-02-18T14:27:12.700Z,leftAvgForce,288.91666666666663
114962795.0,2022-02-18T14:27:12.700Z,leftImpulse,5039.989999999999
114962795.0,2022-02-18T14:27:12.700Z,leftMaxForce,348.5
114962795.0,2022-02-18T14:27:12.700Z,leftTorque,145.84725
114962795.0,2022-02-18T14:27:12.700Z,leftCalibration,0.0
114962795.0,2022-02-18T14:27:12.700Z,rightAvgForce,269.16666666666663
114962795.0,2022-02-18T14:27:12.700Z,rightImpulse,4231.4450000000015
114962795.0,2022-02-18T14:27:12.700Z,rightMaxForce,320.75
114962795.0,2022-02-18T14:27:12.700Z,rightTorque,134.23387499999998
114962795.0,2022-02-18T14:27:12.700Z,rightCalibration,0.0
114962795.0,2022-02-18T14:27:12.700Z,leftRepetitions,3.0
114962795.0,2022-02-18T14:27:12.700Z,rightRepetitions,3.0
114962795.0,2022-03-24T14:35:31.118Z,leftAvgForce,293.75
114962795.0,2022-03-24T14:35:31.118Z,leftImpulse,4424.939999999998
114962795.0,2022-03-24T14:35:31.118Z,leftMaxForce,351.5
114962795.0,2022-03-24T14:35:31.118Z,leftTorque,147.10275
114962795.0,2022-03-24T14:35:31.118Z,leftCalibration,0.0
114962795.0,2022-03-24T14:35:31.118Z,rightAvgForce,310.75
114962795.0,2022-03-24T14:35:31.118Z,rightImpulse,4793.819999999998
114962795.0,2022-03-24T14:35:31.118Z,rightMaxForce,386.75
114962795.0,2022-03-24T14:35:31.118Z,rightTorque,161.854875
114962795.0,2022-03-24T14:35:31.118Z,rightCalibration,0.0
114962795.0,2022-03-24T14:35:31.118Z,leftRepetitions,4.0
114962795.0,2022-03-24T14:35:31.118Z,rightRepetitions,4.0
114962795.0,2022-04-29T15:00:04.414Z,leftAvgForce,355.75
114962795.0,2022-04-29T15:00:04.414Z,leftImpulse,4443.230000000002
114962795.0,2022-04-29T15:00:04.414Z,leftMaxForce,379.75
114962795.0,2022-04-29T15:00:04.414Z,leftTorque,158.925375
114962795.0,2022-04-29T15:00:04.414Z,leftCalibration,0.0
114962795.0,2022-04-29T15:00:04.414Z,rightAvgForce,348.5
114962795.0,2022-04-29T15:00:04.414Z,rightImpulse,4249.814999999999
114962795.0,2022-04-29T15:00:04.414Z,rightMaxForce,375.0
114962795.0,2022-04-29T15:00:04.414Z,rightTorque,156.9375
114962795.0,2022-04-29T15:00:04.414Z,rightCalibration,0.0
114962795.0,2022-04-29T15:00:04.414Z,leftRepetitions,3.0
114962795.0,2022-04-29T15:00:04.414Z,rightRepetitions,3.0
114962795.0,2022-04-23T19:45:45.693Z,leftAvgForce,330.8333333333333
114962795.0,2022-04-23T19:45:45.693Z,leftImpulse,4494.9850000000015
114962795.0,2022-04-23T19:45:45.693Z,leftMaxForce,353.25
114962795.0,2022-04-23T19:45:45.693Z,leftTorque,147.835125
114962795.0,2022-04-23T19:45:45.693Z,leftCalibration,0.0
114962795.0,2022-04-23T19:45:45.693Z,rightAvgForce,276.8333333333333
114962795.0,2022-04-23T19:45:45.693Z,rightImpulse,3411.0600000000004
114962795.0,2022-04-23T19:45:45.693Z,rightMaxForce,297.75
114962795.0,2022-04-23T19:45:45.693Z,rightTorque,124.608375
114962795.0,2022-04-23T19:45:45.693Z,rightCalibration,0.0
114962795.0,2022-04-23T19:45:45.693Z,leftRepetitions,3.0
114962795.0,2022-04-23T19:45:45.693Z,rightRepetitions,3.0
114962795.0,2022-05-27T14:56:24.242Z,leftAvgForce,318.16666666666663
114962795.0,2022-05-27T14:56:24.242Z,leftImpulse,4111.040000000001
114962795.0,2022-05-27T14:56:24.242Z,leftMaxForce,348.5
114962795.0,2022-05-27T14:56:24.242Z,leftTorque,145.84725
114962795.0,2022-05-27T14:56:24.242Z,leftCalibration,0.0
114962795.0,2022-05-27T14:56:24.242Z,rightAvgForce,324.3333333333333
114962795.0,2022-05-27T14:56:24.242Z,rightImpulse,4360.564999999999
114962795.0,2022-05-27T14:56:24.242Z,rightMaxForce,364.5
114962795.0,2022-05-27T14:56:24.242Z,rightTorque,152.54325
114962795.0,2022-05-27T14:56:24.242Z,rightCalibration,0.0
114962795.0,2022-05-27T14:56:24.242Z,leftRepetitions,3.0
114962795.0,2022-05-27T14:56:24.242Z,rightRepetitions,3.0
114962795.0,2022-06-24T15:43:27.623Z,leftAvgForce,315.0
114962795.0,2022-06-24T15:43:27.623Z,leftImpulse,3932.96
114962795.0,2022-06-24T15:43:27.623Z,leftMaxForce,327.0
114962795.0,2022-06-24T15:43:27.623Z,leftTorque,136.8495
114962795.0,2022-06-24T15:43:27.623Z,leftCalibration,0.0
114962795.0,2022-06-24T15:43:27.623Z,rightAvgForce,335.0833333333333
114962795.0,2022-06-24T15:43:27.623Z,rightImpulse,3933.355000000001
114962795.0,2022-06-24T15:43:27.623Z,rightMaxForce,360.0
114962795.0,2022-06-24T15:43:27.623Z,rightTorque,150.66
114962795.0,2022-06-24T15:43:27.623Z,rightCalibration,0.0
114962795.0,2022-06-24T15:43:27.623Z,leftRepetitions,3.0
114962795.0,2022-06-24T15:43:27.623Z,rightRepetitions,3.0
114962795.0,2022-06-17T15:00:23.670Z,leftAvgForce,337.75
114962795.0,2022-06-17T15:00:23.670Z,leftImpulse,4062.8149999999982
114962795.0,2022-06-17T15:00:23.670Z,leftMaxForce,355.0
114962795.0,2022-06-17T15:00:23.670Z,leftTorque,148.5675
114962795.0,2022-06-17T15:00:23.670Z,leftCalibration,0.0
114962795.0,2022-06-17T15:00:23.670Z,rightAvgForce,353.5833333333333
114962795.0,2022-06-17T15:00:23.670Z,rightImpulse,4095.469999999999
114962795.0,2022-06-17T15:00:23.670Z,rightMaxForce,397.25
114962795.0,2022-06-17T15:00:23.670Z,rightTorque,166.249125
114962795.0,2022-06-17T15:00:23.670Z,rightCalibration,0.0
114962795.0,2022-06-17T15:00:23.670Z,leftRepetitions,3.0
114962795.0,2022-06-17T15:00:23.670Z,rightRepetitions,3.0
114962795.0,2022-07-15T15:10:32.030Z,leftAvgForce,320.9166666666667
114962795.0,2022-07-15T15:10:32.030Z,leftImpulse,3528.2699999999986
114962795.0,2022-07-15T15:10:32.030Z,leftMaxForce,340.75
114962795.0,2022-07-15T15:10:32.030Z,leftTorque,142.603875
114962795.0,2022-07-15T15:10:32.030Z,leftCalibration,0.0
114962795.0,2022-07-15T15:10:32.030Z,rightAvgForce,341.75
114962795.0,2022-07-15T15:10:32.030Z,rightImpulse,3755.370000000001
114962795.0,2022-07-15T15:10:32.030Z,rightMaxForce,359.0
114962795.0,2022-07-15T15:10:32.030Z,rightTorque,150.2415
114962795.0,2022-07-15T15:10:32.030Z,rightCalibration,0.0
114962795.0,2022-07-15T15:10:32.030Z,leftRepetitions,3.0
114962795.0,2022-07-15T15:10:32.030Z,rightRepetitions,3.0
114962795.0,2022-07-01T14:52:55.742Z,leftAvgForce,339.8333333333333
114962795.0,2022-07-01T14:52:55.742Z,leftImpulse,3555.869999999998
114962795.0,2022-07-01T14:52:55.742Z,leftMaxForce,347.5
114962795.0,2022-07-01T14:52:55.742Z,leftTorque,145.42875
114962795.0,2022-07-01T14:52:55.742Z,leftCalibration,0.0
114962795.0,2022-07-01T14:52:55.742Z,rightAvgForce,358.75
114962795.0,2022-07-01T14:52:55.742Z,rightImpulse,3438.6450000000004
114962795.0,2022-07-01T14:52:55.742Z,rightMaxForce,375.25
114962795.0,2022-07-01T14:52:55.742Z,rightTorque,157.042125
114962795.0,2022-07-01T14:52:55.742Z,rightCalibration,0.0
114962795.0,2022-07-01T14:52:55.742Z,leftRepetitions,3.0
114962795.0,2022-07-01T14:52:55.742Z,rightRepetitions,3.0
114962795.0,2022-08-16T20:02:59.920Z,leftAvgForce,327.75
114962795.0,2022-08-16T20:02:59.920Z,leftImpulse,4117.694999999999
114962795.0,2022-08-16T20:02:59.920Z,leftMaxForce,350.0
114962795.0,2022-08-16T20:02:59.920Z,leftTorque,146.475
114962795.0,2022-08-16T20:02:59.920Z,leftCalibration,0.0
114962795.0,2022-08-16T20:02:59.920Z,rightAvgForce,305.25
114962795.0,2022-08-16T20:02:59.920Z,rightImpulse,3585.464999999999
114962795.0,2022-08-16T20:02:59.920Z,rightMaxForce,367.5
114962795.0,2022-08-16T20:02:59.920Z,rightTorque,153.79874999999998
114962795.0,2022-08-16T20:02:59.920Z,rightCalibration,0.0
114962795.0,2022-08-16T20:02:59.920Z,leftRepetitions,3.0
114962795.0,2022-08-16T20:02:59.920Z,rightRepetitions,3.0
114962795.0,2022-08-01T14:33:21.520Z,leftAvgForce,342.66666666666663
114962795.0,2022-08-01T14:33:21.520Z,leftImpulse,5091.775
114962795.0,2022-08-01T14:33:21.520Z,leftMaxForce,362.25
114962795.0,2022-08-01T14:33:21.520Z,leftTorque,151.60162499999998
114962795.0,2022-08-01T14:33:21.520Z,leftCalibration,0.0
114962795.0,2022-08-01T14:33:21.520Z,rightAvgForce,356.75
114962795.0,2022-08-01T14:33:21.520Z,rightImpulse,5077.51
114962795.0,2022-08-01T14:33:21.520Z,rightMaxForce,404.5
114962795.0,2022-08-01T14:33:21.520Z,rightTorque,169.28324999999998
114962795.0,2022-08-01T14:33:21.520Z,rightCalibration,0.0
114962795.0,2022-08-01T14:33:21.520Z,leftRepetitions,3.0
114962795.0,2022-08-01T14:33:21.520Z,rightRepetitions,3.0
114962795.0,2023-01-23T16:15:10.655Z,leftAvgForce,332.6666666666667
114962795.0,2023-01-23T16:15:10.655Z,leftImpulse,3850.0799999999954
114962795.0,2023-01-23T16:15:10.655Z,leftMaxForce,341.75
114962795.0,2023-01-23T16:15:10.655Z,leftTorque,143.02237499999998
114962795.0,2023-01-23T16:15:10.655Z,leftCalibration,0.0
114962795.0,2023-01-23T16:15:10.655Z,rightAvgForce,332.66666666666663
114962795.0,2023-01-23T16:15:10.655Z,rightImpulse,3501.74
114962795.0,2023-01-23T16:15:10.655Z,rightMaxForce,370.0
114962795.0,2023-01-23T16:15:10.655Z,rightTorque,154.845
114962795.0,2023-01-23T16:15:10.655Z,rightCalibration,0.0
114962795.0,2023-01-23T16:15:10.655Z,leftRepetitions,3.0
114962795.0,2023-01-23T16:15:10.655Z,rightRepetitions,3.0
114962795.0,2023-02-16T15:16:45.184Z,leftAvgForce,353.75
114962795.0,2023-02-16T15:16:45.184Z,leftImpulse,4423.765000000004
114962795.0,2023-02-16T15:16:45.184Z,leftMaxForce,381.0
114962795.0,2023-02-16T15:16:45.184Z,leftTorque,159.4485
114962795.0,2023-02-16T15:16:45.184Z,leftCalibration,0.0
114962795.0,2023-02-16T15:16:45.184Z,rightAvgForce,364.0
114962795.0,2023-02-16T15:16:45.184Z,rightImpulse,4413.429999999995
114962795.0,2023-02-16T15:16:45.184Z,rightMaxForce,399.25
114962795.0,2023-02-16T15:16:45.184Z,rightTorque,167.08612499999998
114962795.0,2023-02-16T15:16:45.184Z,rightCalibration,0.0
114962795.0,2023-02-16T15:16:45.184Z,leftRepetitions,3.0
114962795.0,2023-02-16T15:16:45.184Z,rightRepetitions,3.0
114962795.0,2023-04-26T13:22:23.457Z,leftAvgForce,394.0
114962795.0,2023-04-26T13:22:23.457Z,leftImpulse,5325.524999999999
114962795.0,2023-04-26T13:22:23.457Z,leftMaxForce,424.75
114962795.0,2023-04-26T13:22:23.457Z,leftTorque,177.75787499999998
114962795.0,2023-04-26T13:22:23.457Z,leftCalibration,0.0
114962795.0,2023-04-26T13:22:23.457Z,rightAvgForce,367.3333333333333
114962795.0,2023-04-26T13:22:23.457Z,rightImpulse,4162.435
114962795.0,2023-04-26T13:22:23.457Z,rightMaxForce,426.75
