sbuid,testDateUtc,metric,value,sbu_sport
115339860.0,2022-07-19T18:34:09.567Z,leftAvgForce,310.1666666666667,Mens Basketball
115339860.0,2022-07-19T18:34:09.567Z,leftImpulse,3034.805,Mens Basketball
115339860.0,2022-07-19T18:34:09.567Z,leftMaxForce,346.5,Mens Basketball
115339860.0,2022-07-19T18:34:09.567Z,leftTorque,160.60275,Mens Basketball
115339860.0,2022-07-19T18:34:09.567Z,leftCalibration,0.0,Mens Basketball
115339860.0,2022-07-19T18:34:09.567Z,rightAvgForce,312.25,Mens Basketball
115339860.0,2022-07-19T18:34:09.567Z,rightImpulse,3105.26,Mens Basketball
115339860.0,2022-07-19T18:34:09.567Z,rightMaxForce,335.5,Mens Basketball
115339860.0,2022-07-19T18:34:09.567Z,rightTorque,155.50425,Mens Basketball
115339860.0,2022-07-19T18:34:09.567Z,rightCalibration,0.0,Mens Basketball
115339860.0,2022-07-19T18:34:09.567Z,leftRepetitions,3.0,Mens Basketball
115339860.0,2022-07-19T18:34:09.567Z,rightRepetitions,3.0,Mens Basketball
115339860.0,2022-08-22T12:34:03.387Z,leftAvgForce,407.5833333333333,Mens Basketball
115339860.0,2022-08-22T12:34:03.387Z,leftImpulse,6348.439999999996,Mens Basketball
115339860.0,2022-08-22T12:34:03.387Z,leftMaxForce,470.0,Mens Basketball
115339860.0,2022-08-22T12:34:03.387Z,leftTorque,217.845,Mens Basketball
115339860.0,2022-08-22T12:34:03.387Z,leftCalibration,0.0,Mens Basketball
115339860.0,2022-08-22T12:34:03.387Z,rightAvgForce,397.6666666666667,Mens Basketball
115339860.0,2022-08-22T12:34:03.387Z,rightImpulse,6671.04,Mens Basketball
115339860.0,2022-08-22T12:34:03.387Z,rightMaxForce,438.0,Mens Basketball
115339860.0,2022-08-22T12:34:03.387Z,rightTorque,203.013,Mens Basketball
115339860.0,2022-08-22T12:34:03.387Z,rightCalibration,0.0,Mens Basketball
115339860.0,2022-08-22T12:34:03.387Z,leftRepetitions,3.0,Mens Basketball
115339860.0,2022-08-22T12:34:03.387Z,rightRepetitions,3.0,Mens Basketball
115339860.0,2022-08-08T18:32:47.815Z,leftAvgForce,303.4166666666667,Mens Basketball
115339860.0,2022-08-08T18:32:47.815Z,leftImpulse,4009.434999999998,Mens Basketball
115339860.0,2022-08-08T18:32:47.815Z,leftMaxForce,350.75,Mens Basketball
115339860.0,2022-08-08T18:32:47.815Z,leftTorque,162.57262500000002,Mens Basketball
115339860.0,2022-08-08T18:32:47.815Z,leftCalibration,0.0,Mens Basketball
115339860.0,2022-08-08T18:32:47.815Z,rightAvgForce,271.5833333333333,Mens Basketball
115339860.0,2022-08-08T18:32:47.815Z,rightImpulse,4433.994999999999,Mens Basketball
115339860.0,2022-08-08T18:32:47.815Z,rightMaxForce,310.5,Mens Basketball
115339860.0,2022-08-08T18:32:47.815Z,rightTorque,143.91675,Mens Basketball
115339860.0,2022-08-08T18:32:47.815Z,rightCalibration,0.0,Mens Basketball
115339860.0,2022-08-08T18:32:47.815Z,leftRepetitions,3.0,Mens Basketball
115339860.0,2022-08-08T18:32:47.815Z,rightRepetitions,3.0,Mens Basketball
115339860.0,2022-09-23T12:57:04.300Z,leftAvgForce,340.75,Mens Basketball
115339860.0,2022-09-23T12:57:04.300Z,leftImpulse,3825.715000000002,Mens Basketball
115339860.0,2022-09-23T12:57:04.300Z,leftMaxForce,450.25,Mens Basketball
115339860.0,2022-09-23T12:57:04.300Z,leftTorque,208.690875,Mens Basketball
115339860.0,2022-09-23T12:57:04.300Z,leftCalibration,0.0,Mens Basketball
115339860.0,2022-09-23T12:57:04.300Z,rightAvgForce,366.9166666666667,Mens Basketball
115339860.0,2022-09-23T12:57:04.300Z,rightImpulse,4219.665,Mens Basketball
115339860.0,2022-09-23T12:57:04.300Z,rightMaxForce,439.75,Mens Basketball
115339860.0,2022-09-23T12:57:04.300Z,rightTorque,203.824125,Mens Basketball
115339860.0,2022-09-23T12:57:04.300Z,rightCalibration,0.0,Mens Basketball
115339860.0,2022-09-23T12:57:04.300Z,leftRepetitions,3.0,Mens Basketball
115339860.0,2022-09-23T12:57:04.300Z,rightRepetitions,3.0,Mens Basketball
115339860.0,2022-09-09T12:39:33.521Z,leftAvgForce,394.1666666666667,Mens Basketball
115339860.0,2022-09-09T12:39:33.521Z,leftImpulse,4659.85,Mens Basketball
115339860.0,2022-09-09T12:39:33.521Z,leftMaxForce,433.75,Mens Basketball
115339860.0,2022-09-09T12:39:33.521Z,leftTorque,201.043125,Mens Basketball
115339860.0,2022-09-09T12:39:33.521Z,leftCalibration,0.0,Mens Basketball
115339860.0,2022-09-09T12:39:33.521Z,rightAvgForce,402.25,Mens Basketball
115339860.0,2022-09-09T12:39:33.521Z,rightImpulse,5290.780000000003,Mens Basketball
115339860.0,2022-09-09T12:39:33.521Z,rightMaxForce,472.0,Mens Basketball
115339860.0,2022-09-09T12:39:33.521Z,rightTorque,218.772,Mens Basketball
115339860.0,2022-09-09T12:39:33.521Z,rightCalibration,0.0,Mens Basketball
115339860.0,2022-09-09T12:39:33.521Z,leftRepetitions,3.0,Mens Basketball
115339860.0,2022-09-09T12:39:33.521Z,rightRepetitions,3.0,Mens Basketball
115339860.0,2022-10-04T19:17:10.146Z,leftAvgForce,292.3333333333333,Mens Basketball
115339860.0,2022-10-04T19:17:10.146Z,leftImpulse,2793.2000000000007,Mens Basketball
115339860.0,2022-10-04T19:17:10.146Z,leftMaxForce,343.0,Mens Basketball
115339860.0,2022-10-04T19:17:10.146Z,leftTorque,158.9805,Mens Basketball
115339860.0,2022-10-04T19:17:10.146Z,leftCalibration,0.0,Mens Basketball
115339860.0,2022-10-04T19:17:10.146Z,rightAvgForce,312.3333333333333,Mens Basketball
115339860.0,2022-10-04T19:17:10.146Z,rightImpulse,3906.7000000000007,Mens Basketball
115339860.0,2022-10-04T19:17:10.146Z,rightMaxForce,361.75,Mens Basketball
115339860.0,2022-10-04T19:17:10.146Z,rightTorque,167.67112500000002,Mens Basketball
115339860.0,2022-10-04T19:17:10.146Z,rightCalibration,0.0,Mens Basketball
115339860.0,2022-10-04T19:17:10.146Z,leftRepetitions,3.0,Mens Basketball
115339860.0,2022-10-04T19:17:10.146Z,rightRepetitions,3.0,Mens Basketball
115339860.0,2023-04-24T17:48:11.088Z,leftAvgForce,357.5833333333333,Mens Basketball
115339860.0,2023-04-24T17:48:11.088Z,leftImpulse,3045.125,Mens Basketball
115339860.0,2023-04-24T17:48:11.088Z,leftMaxForce,402.75,Mens Basketball
115339860.0,2023-04-24T17:48:11.088Z,leftTorque,186.674625,Mens Basketball
115339860.0,2023-04-24T17:48:11.088Z,leftCalibration,0.0,Mens Basketball
115339860.0,2023-04-24T17:48:11.088Z,rightAvgForce,343.1666666666667,Mens Basketball
115339860.0,2023-04-24T17:48:11.088Z,rightImpulse,2996.8550000000005,Mens Basketball
115339860.0,2023-04-24T17:48:11.088Z,rightMaxForce,382.0,Mens Basketball
115339860.0,2023-04-24T17:48:11.088Z,rightTorque,177.05700000000002,Mens Basketball
115339860.0,2023-04-24T17:48:11.088Z,rightCalibration,0.0,Mens Basketball
115339860.0,2023-04-24T17:48:11.088Z,leftRepetitions,3.0,Mens Basketball
115339860.0,2023-04-24T17:48:11.088Z,rightRepetitions,3.0,Mens Basketball
115339860.0,2023-07-25T18:14:38.901Z,leftAvgForce,281.75,Mens Basketball
115339860.0,2023-07-25T18:14:38.901Z,leftImpulse,1833.0650000000016,Mens Basketball
115339860.0,2023-07-25T18:14:38.901Z,leftMaxForce,289.25,Mens Basketball
115339860.0,2023-07-25T18:14:38.901Z,leftTorque,134.067375,Mens Basketball
115339860.0,2023-07-25T18:14:38.901Z,leftCalibration,0.0,Mens Basketball
115339860.0,2023-07-25T18:14:38.901Z,rightAvgForce,195.375,Mens Basketball
