sbuid,testDateUtc,metric,value,sbu_sport
114306935.0,2023-08-28T20:43:20.045Z,leftAvgForce,393.0,Mens Lax
114306935.0,2023-08-28T20:43:20.045Z,leftImpulse,1963.3650000000011,Mens Lax
114306935.0,2023-08-28T20:43:20.045Z,leftMaxForce,404.5,Mens Lax
114306935.0,2023-08-28T20:43:20.045Z,leftTorque,169.28324999999998,Mens Lax
114306935.0,2023-08-28T20:43:20.045Z,leftCalibration,0.0,Mens Lax
114306935.0,2023-08-28T20:43:20.045Z,rightAvgForce,335.75,Mens Lax
114306935.0,2023-08-28T20:43:20.045Z,rightImpulse,1663.85,Mens Lax
114306935.0,2023-08-28T20:43:20.045Z,rightMaxForce,342.0,Mens Lax
114306935.0,2023-08-28T20:43:20.045Z,rightTorque,143.12699999999998,Mens Lax
114306935.0,2023-08-28T20:43:20.045Z,rightCalibration,0.0,Mens Lax
114306935.0,2023-08-28T20:43:20.045Z,leftRepetitions,2.0,Mens Lax
114306935.0,2023-08-28T20:43:20.045Z,rightRepetitions,2.0,Mens Lax
114306935.0,2023-09-05T20:52:41.305Z,leftAvgForce,488.5,Mens Lax
114306935.0,2023-09-05T20:52:41.305Z,leftImpulse,5865.585000000001,Mens Lax
114306935.0,2023-09-05T20:52:41.305Z,leftMaxForce,494.5,Mens Lax
114306935.0,2023-09-05T20:52:41.305Z,leftTorque,206.94825,Mens Lax
114306935.0,2023-09-05T20:52:41.305Z,leftCalibration,0.0,Mens Lax
114306935.0,2023-09-05T20:52:41.305Z,rightAvgForce,439.25,Mens Lax
114306935.0,2023-09-05T20:52:41.305Z,rightImpulse,4885.5,Mens Lax
114306935.0,2023-09-05T20:52:41.305Z,rightMaxForce,448.0,Mens Lax
114306935.0,2023-09-05T20:52:41.305Z,rightTorque,187.488,Mens Lax
114306935.0,2023-09-05T20:52:41.305Z,rightCalibration,0.0,Mens Lax
114306935.0,2023-09-05T20:52:41.305Z,leftRepetitions,2.0,Mens Lax
114306935.0,2023-09-05T20:52:41.305Z,rightRepetitions,2.0,Mens Lax
113161742.0,2022-08-26T18:30:47.048Z,leftAvgForce,422.5,Mens Lax
113161742.0,2022-08-26T18:30:47.048Z,leftImpulse,5587.545,Mens Lax
113161742.0,2022-08-26T18:30:47.048Z,leftMaxForce,440.25,Mens Lax
113161742.0,2022-08-26T18:30:47.048Z,leftTorque,219.904875,Mens Lax
113161742.0,2022-08-26T18:30:47.048Z,leftCalibration,0.0,Mens Lax
113161742.0,2022-08-26T18:30:47.048Z,rightAvgForce,384.0833333333333,Mens Lax
113161742.0,2022-08-26T18:30:47.048Z,rightImpulse,5093.345000000002,Mens Lax
113161742.0,2022-08-26T18:30:47.048Z,rightMaxForce,401.5,Mens Lax
113161742.0,2022-08-26T18:30:47.048Z,rightTorque,200.54925,Mens Lax
113161742.0,2022-08-26T18:30:47.048Z,rightCalibration,0.0,Mens Lax
113161742.0,2022-08-26T18:30:47.048Z,leftRepetitions,3.0,Mens Lax
113161742.0,2022-08-26T18:30:47.048Z,rightRepetitions,3.0,Mens Lax
113161742.0,2022-09-08T21:01:43.328Z,leftAvgForce,417.9166666666666,Mens Lax
113161742.0,2022-09-08T21:01:43.328Z,leftImpulse,4762.0,Mens Lax
113161742.0,2022-09-08T21:01:43.328Z,leftMaxForce,445.5,Mens Lax
113161742.0,2022-09-08T21:01:43.328Z,leftTorque,222.52725,Mens Lax
113161742.0,2022-09-08T21:01:43.328Z,leftCalibration,0.0,Mens Lax
113161742.0,2022-09-08T21:01:43.328Z,rightAvgForce,391.0,Mens Lax
113161742.0,2022-09-08T21:01:43.328Z,rightImpulse,4216.735,Mens Lax
113161742.0,2022-09-08T21:01:43.328Z,rightMaxForce,409.0,Mens Lax
113161742.0,2022-09-08T21:01:43.328Z,rightTorque,204.2955,Mens Lax
113161742.0,2022-09-08T21:01:43.328Z,rightCalibration,0.0,Mens Lax
113161742.0,2022-09-08T21:01:43.328Z,leftRepetitions,3.0,Mens Lax
113161742.0,2022-09-08T21:01:43.328Z,rightRepetitions,3.0,Mens Lax
113161742.0,2023-01-24T21:22:23.460Z,leftAvgForce,476.5833333333333,Mens Lax
113161742.0,2023-01-24T21:22:23.460Z,leftImpulse,6685.560000000006,Mens Lax
113161742.0,2023-01-24T21:22:23.460Z,leftMaxForce,492.25,Mens Lax
113161742.0,2023-01-24T21:22:23.460Z,leftTorque,245.878875,Mens Lax
113161742.0,2023-01-24T21:22:23.460Z,leftCalibration,0.0,Mens Lax
113161742.0,2023-01-24T21:22:23.460Z,rightAvgForce,440.8333333333333,Mens Lax
113161742.0,2023-01-24T21:22:23.460Z,rightImpulse,6216.860000000002,Mens Lax
113161742.0,2023-01-24T21:22:23.460Z,rightMaxForce,459.0,Mens Lax
113161742.0,2023-01-24T21:22:23.460Z,rightTorque,229.2705,Mens Lax
113161742.0,2023-01-24T21:22:23.460Z,rightCalibration,0.0,Mens Lax
113161742.0,2023-01-24T21:22:23.460Z,leftRepetitions,3.0,Mens Lax
113161742.0,2023-01-24T21:22:23.460Z,rightRepetitions,3.0,Mens Lax
113161742.0,2023-01-11T16:11:06.309Z,leftAvgForce,474.25,Mens Lax
113161742.0,2023-01-11T16:11:06.309Z,leftImpulse,5476.82,Mens Lax
113161742.0,2023-01-11T16:11:06.309Z,leftMaxForce,508.0,Mens Lax
113161742.0,2023-01-11T16:11:06.309Z,leftTorque,253.746,Mens Lax
113161742.0,2023-01-11T16:11:06.309Z,leftCalibration,0.0,Mens Lax
113161742.0,2023-01-11T16:11:06.309Z,rightAvgForce,397.4166666666666,Mens Lax
113161742.0,2023-01-11T16:11:06.309Z,rightImpulse,4041.960000000001,Mens Lax
113161742.0,2023-01-11T16:11:06.309Z,rightMaxForce,440.5,Mens Lax
113161742.0,2023-01-11T16:11:06.309Z,rightTorque,220.02975,Mens Lax
113161742.0,2023-01-11T16:11:06.309Z,rightCalibration,0.0,Mens Lax
113161742.0,2023-01-11T16:11:06.309Z,leftRepetitions,3.0,Mens Lax
113161742.0,2023-01-11T16:11:06.309Z,rightRepetitions,3.0,Mens Lax
113161742.0,2023-08-28T20:28:43.480Z,leftAvgForce,386.875,Mens Lax
113161742.0,2023-08-28T20:28:43.480Z,leftImpulse,2390.2150000000006,Mens Lax
113161742.0,2023-08-28T20:28:43.480Z,leftMaxForce,410.5,Mens Lax
113161742.0,2023-08-28T20:28:43.480Z,leftTorque,205.04475,Mens Lax
113161742.0,2023-08-28T20:28:43.480Z,leftCalibration,0.0,Mens Lax
113161742.0,2023-08-28T20:28:43.480Z,rightAvgForce,374.75,Mens Lax
113161742.0,2023-08-28T20:28:43.480Z,rightImpulse,2279.4500000000007,Mens Lax
113161742.0,2023-08-28T20:28:43.480Z,rightMaxForce,386.0,Mens Lax
113161742.0,2023-08-28T20:28:43.480Z,rightTorque,192.807,Mens Lax
113161742.0,2023-08-28T20:28:43.480Z,rightCalibration,0.0,Mens Lax
113161742.0,2023-08-28T20:28:43.480Z,leftRepetitions,2.0,Mens Lax
113161742.0,2023-08-28T20:28:43.480Z,rightRepetitions,2.0,Mens Lax
113161742.0,2023-09-05T21:03:56.881Z,leftAvgForce,605.25,Mens Lax
113161742.0,2023-09-05T21:03:56.881Z,leftImpulse,5076.084999999999,Mens Lax
113161742.0,2023-09-05T21:03:56.881Z,leftMaxForce,613.75,Mens Lax
113161742.0,2023-09-05T21:03:56.881Z,leftTorque,306.56812499999995,Mens Lax
113161742.0,2023-09-05T21:03:56.881Z,leftCalibration,0.0,Mens Lax
113161742.0,2023-09-05T21:03:56.881Z,rightAvgForce,516.625,Mens Lax
113161742.0,2023-09-05T21:03:56.881Z,rightImpulse,3843.709999999999,Mens Lax
113161742.0,2023-09-05T21:03:56.881Z,rightMaxForce,525.25,Mens Lax
113161742.0,2023-09-05T21:03:56.881Z,rightTorque,262.362375,Mens Lax
113161742.0,2023-09-05T21:03:56.881Z,rightCalibration,0.0,Mens Lax
113161742.0,2023-09-05T21:03:56.881Z,leftRepetitions,2.0,Mens Lax
113161742.0,2023-09-05T21:03:56.881Z,rightRepetitions,2.0,Mens Lax
113161742.0,2024-01-23T21:38:19.460Z,leftAvgForce,458.5,Mens Lax
113161742.0,2024-01-23T21:38:19.460Z,leftImpulse,2166.2149999999974,Mens Lax
113161742.0,2024-01-23T21:38:19.460Z,leftMaxForce,458.5,Mens Lax
113161742.0,2024-01-23T21:38:19.460Z,leftTorque,229.02075,Mens Lax
113161742.0,2024-01-23T21:38:19.460Z,leftCalibration,0.0,Mens Lax
113161742.0,2024-01-23T21:38:19.460Z,rightAvgForce,388.75,Mens Lax
113161742.0,2024-01-23T21:38:19.460Z,rightImpulse,1681.6499999999996,Mens Lax
113161742.0,2024-01-23T21:38:19.460Z,rightMaxForce,389.75,Mens Lax
113161742.0,2024-01-23T21:38:19.460Z,rightTorque,194.680125,Mens Lax
113161742.0,2024-01-23T21:38:19.460Z,rightCalibration,0.0,Mens Lax
113161742.0,2024-01-23T21:38:19.460Z,leftRepetitions,1.0,Mens Lax
113161742.0,2024-01-23T21:38:19.460Z,rightRepetitions,2.0,Mens Lax
114773979.0,2022-08-23T20:47:15.120Z,leftAvgForce,403.8333333333333,Mens Lax
114773979.0,2022-08-23T20:47:15.120Z,leftImpulse,6211.585000000002,Mens Lax
114773979.0,2022-08-23T20:47:15.120Z,leftMaxForce,409.5,Mens Lax
114773979.0,2022-08-23T20:47:15.120Z,leftTorque,197.17425000000003,Mens Lax
114773979.0,2022-08-23T20:47:15.120Z,leftCalibration,0.0,Mens Lax
114773979.0,2022-08-23T20:47:15.120Z,rightAvgForce,482.0,Mens Lax
114773979.0,2022-08-23T20:47:15.120Z,rightImpulse,6064.424999999997,Mens Lax
