sbuid,testDateUtc,metric,value,sbu_sport
115748989.0,2022-01-10T17:10:56.344Z,leftAvgForce,418.25,Mens Soccer
115748989.0,2022-01-10T17:10:56.344Z,leftImpulse,7516.495000000001,Mens Soccer
115748989.0,2022-01-10T17:10:56.344Z,leftMaxForce,423.25,Mens Soccer
115748989.0,2022-01-10T17:10:56.344Z,leftTorque,199.98562500000003,Mens Soccer
115748989.0,2022-01-10T17:10:56.344Z,leftCalibration,0.0,Mens Soccer
115748989.0,2022-01-10T17:10:56.344Z,rightAvgForce,435.5,Mens Soccer
115748989.0,2022-01-10T17:10:56.344Z,rightImpulse,7826.079999999998,Mens Soccer
115748989.0,2022-01-10T17:10:56.344Z,rightMaxForce,451.75,Mens Soccer
115748989.0,2022-01-10T17:10:56.344Z,rightTorque,213.451875,Mens Soccer
115748989.0,2022-01-10T17:10:56.344Z,rightCalibration,0.0,Mens Soccer
115748989.0,2022-01-10T17:10:56.344Z,leftRepetitions,3.0,Mens Soccer
115748989.0,2022-01-10T17:10:56.344Z,rightRepetitions,3.0,Mens Soccer
115748989.0,2022-03-21T16:03:37.532Z,leftAvgForce,412.75,Mens Soccer
115748989.0,2022-03-21T16:03:37.532Z,leftImpulse,7698.649999999986,Mens Soccer
115748989.0,2022-03-21T16:03:37.532Z,leftMaxForce,430.75,Mens Soccer
115748989.0,2022-03-21T16:03:37.532Z,leftTorque,199.652625,Mens Soccer
115748989.0,2022-03-21T16:03:37.532Z,leftCalibration,0.0,Mens Soccer
115748989.0,2022-03-21T16:03:37.532Z,rightAvgForce,424.5,Mens Soccer
115748989.0,2022-03-21T16:03:37.532Z,rightImpulse,7038.004999999995,Mens Soccer
115748989.0,2022-03-21T16:03:37.532Z,rightMaxForce,440.75,Mens Soccer
115748989.0,2022-03-21T16:03:37.532Z,rightTorque,204.287625,Mens Soccer
115748989.0,2022-03-21T16:03:37.532Z,rightCalibration,0.0,Mens Soccer
115748989.0,2022-03-21T16:03:37.532Z,leftRepetitions,3.0,Mens Soccer
115748989.0,2022-03-21T16:03:37.532Z,rightRepetitions,3.0,Mens Soccer
115748989.0,2022-04-25T16:02:43.338Z,leftAvgForce,406.25,Mens Soccer
115748989.0,2022-04-25T16:02:43.338Z,leftImpulse,4651.319999999992,Mens Soccer
115748989.0,2022-04-25T16:02:43.338Z,leftMaxForce,419.25,Mens Soccer
115748989.0,2022-04-25T16:02:43.338Z,leftTorque,198.095625,Mens Soccer
115748989.0,2022-04-25T16:02:43.338Z,leftCalibration,0.0,Mens Soccer
115748989.0,2022-04-25T16:02:43.338Z,rightAvgForce,423.0,Mens Soccer
115748989.0,2022-04-25T16:02:43.338Z,rightImpulse,4259.74,Mens Soccer
115748989.0,2022-04-25T16:02:43.338Z,rightMaxForce,426.5,Mens Soccer
115748989.0,2022-04-25T16:02:43.338Z,rightTorque,201.52125,Mens Soccer
115748989.0,2022-04-25T16:02:43.338Z,rightCalibration,0.0,Mens Soccer
115748989.0,2022-04-25T16:02:43.338Z,leftRepetitions,2.0,Mens Soccer
115748989.0,2022-04-25T16:02:43.338Z,rightRepetitions,2.0,Mens Soccer
