sbuid,testDateUtc,metric,value,sbu_sport
116034865.0,2023-09-01T19:28:33.076Z,leftAvgForce,337.5,Softball
116034865.0,2023-09-01T19:28:33.076Z,leftImpulse,2567.1749999999984,Softball
116034865.0,2023-09-01T19:28:33.076Z,leftMaxForce,343.0,Softball
116034865.0,2023-09-01T19:28:33.076Z,leftTorque,143.5455,Softball
116034865.0,2023-09-01T19:28:33.076Z,leftCalibration,0.0,Softball
116034865.0,2023-09-01T19:28:33.076Z,rightAvgForce,421.0,Softball
116034865.0,2023-09-01T19:28:33.076Z,rightImpulse,2716.684999999997,Softball
116034865.0,2023-09-01T19:28:33.076Z,rightMaxForce,461.5,Softball
116034865.0,2023-09-01T19:28:33.076Z,rightTorque,193.13775,Softball
116034865.0,2023-09-01T19:28:33.076Z,rightCalibration,0.0,Softball
116034865.0,2023-09-01T19:28:33.076Z,leftRepetitions,2.0,Softball
116034865.0,2023-09-01T19:28:33.076Z,rightRepetitions,2.0,Softball
116034865.0,2024-01-26T20:20:11.197Z,leftAvgForce,295.25,Softball
116034865.0,2024-01-26T20:20:11.197Z,leftImpulse,2502.210000000002,Softball
116034865.0,2024-01-26T20:20:11.197Z,leftMaxForce,295.25,Softball
116034865.0,2024-01-26T20:20:11.197Z,leftTorque,123.562125,Softball
116034865.0,2024-01-26T20:20:11.197Z,leftCalibration,0.0,Softball
116034865.0,2024-01-26T20:20:11.197Z,rightAvgForce,273.375,Softball
116034865.0,2024-01-26T20:20:11.197Z,rightImpulse,1962.3899999999996,Softball
116034865.0,2024-01-26T20:20:11.197Z,rightMaxForce,273.5,Softball
116034865.0,2024-01-26T20:20:11.197Z,rightTorque,114.45975,Softball
116034865.0,2024-01-26T20:20:11.197Z,rightCalibration,0.0,Softball
116034865.0,2024-01-26T20:20:11.197Z,leftRepetitions,0.0,Softball
116034865.0,2024-01-26T20:20:11.197Z,rightRepetitions,2.0,Softball
115365014.0,2023-09-01T19:12:52.191Z,leftAvgForce,273.75,Softball
115365014.0,2023-09-01T19:12:52.191Z,leftImpulse,1440.235,Softball
115365014.0,2023-09-01T19:12:52.191Z,leftMaxForce,278.75,Softball
115365014.0,2023-09-01T19:12:52.191Z,leftTorque,116.656875,Softball
115365014.0,2023-09-01T19:12:52.191Z,leftCalibration,0.0,Softball
115365014.0,2023-09-01T19:12:52.191Z,rightAvgForce,230.75,Softball
115365014.0,2023-09-01T19:12:52.191Z,rightImpulse,1302.115000000002,Softball
115365014.0,2023-09-01T19:12:52.191Z,rightMaxForce,239.25,Softball
115365014.0,2023-09-01T19:12:52.191Z,rightTorque,100.126125,Softball
115365014.0,2023-09-01T19:12:52.191Z,rightCalibration,0.0,Softball
115365014.0,2023-09-01T19:12:52.191Z,leftRepetitions,2.0,Softball
115365014.0,2023-09-01T19:12:52.191Z,rightRepetitions,2.0,Softball
115365014.0,2024-01-26T20:23:08.542Z,leftAvgForce,263.0,Softball
115365014.0,2024-01-26T20:23:08.542Z,leftImpulse,1511.835,Softball
115365014.0,2024-01-26T20:23:08.542Z,leftMaxForce,270.0,Softball
115365014.0,2024-01-26T20:23:08.542Z,leftTorque,112.995,Softball
115365014.0,2024-01-26T20:23:08.542Z,leftCalibration,0.0,Softball
115365014.0,2024-01-26T20:23:08.542Z,rightAvgForce,243.5833333333333,Softball
115365014.0,2024-01-26T20:23:08.542Z,rightImpulse,1226.12,Softball
115365014.0,2024-01-26T20:23:08.542Z,rightMaxForce,255.25,Softball
115365014.0,2024-01-26T20:23:08.542Z,rightTorque,106.822125,Softball
115365014.0,2024-01-26T20:23:08.542Z,rightCalibration,0.0,Softball
115365014.0,2024-01-26T20:23:08.542Z,leftRepetitions,3.0,Softball
115365014.0,2024-01-26T20:23:08.542Z,rightRepetitions,3.0,Softball
115681879.0,2023-09-01T19:13:28.033Z,leftAvgForce,327.875,Softball
115681879.0,2023-09-01T19:13:28.033Z,leftImpulse,1882.685,Softball
115681879.0,2023-09-01T19:13:28.033Z,leftMaxForce,349.75,Softball
115681879.0,2023-09-01T19:13:28.033Z,leftTorque,136.92712500000002,Softball
115681879.0,2023-09-01T19:13:28.033Z,leftCalibration,0.0,Softball
115681879.0,2023-09-01T19:13:28.033Z,rightAvgForce,276.125,Softball
115681879.0,2023-09-01T19:13:28.033Z,rightImpulse,1616.1849999999995,Softball
115681879.0,2023-09-01T19:13:28.033Z,rightMaxForce,292.0,Softball
115681879.0,2023-09-01T19:13:28.033Z,rightTorque,114.318,Softball
115681879.0,2023-09-01T19:13:28.033Z,rightCalibration,0.0,Softball
115681879.0,2023-09-01T19:13:28.033Z,leftRepetitions,2.0,Softball
