sbuid,testDateUtc,metric,value,sbu_sport
114137043.0,2024-01-26T16:32:25.677Z,leftAvgForce,524.5,Track and Field
114137043.0,2024-01-26T16:32:25.677Z,leftImpulse,7196.025000000005,Track and Field
114137043.0,2024-01-26T16:32:25.677Z,leftMaxForce,524.5,Track and Field
114137043.0,2024-01-26T16:32:25.677Z,leftTorque,219.50325,Track and Field
114137043.0,2024-01-26T16:32:25.677Z,leftCalibration,0.0,Track and Field
114137043.0,2024-01-26T16:32:25.677Z,rightAvgForce,487.0,Track and Field
114137043.0,2024-01-26T16:32:25.677Z,rightImpulse,6895.539999999999,Track and Field
114137043.0,2024-01-26T16:32:25.677Z,rightMaxForce,487.0,Track and Field
114137043.0,2024-01-26T16:32:25.677Z,rightTorque,203.8095,Track and Field
114137043.0,2024-01-26T16:32:25.677Z,rightCalibration,0.0,Track and Field
114137043.0,2024-01-26T16:32:25.677Z,leftRepetitions,1.0,Track and Field
114137043.0,2024-01-26T16:32:25.677Z,rightRepetitions,1.0,Track and Field
114502308.0,2022-01-24T16:55:15.054Z,leftAvgForce,290.625,Track and Field
114502308.0,2022-01-24T16:55:15.054Z,leftImpulse,6335.295000000012,Track and Field
114502308.0,2022-01-24T16:55:15.054Z,leftMaxForce,360.0,Track and Field
114502308.0,2022-01-24T16:55:15.054Z,leftTorque,134.46,Track and Field
114502308.0,2022-01-24T16:55:15.054Z,leftCalibration,0.0,Track and Field
114502308.0,2022-01-24T16:55:15.054Z,rightAvgForce,265.125,Track and Field
114502308.0,2022-01-24T16:55:15.054Z,rightImpulse,4575.089999999998,Track and Field
114502308.0,2022-01-24T16:55:15.054Z,rightMaxForce,311.5,Track and Field
114502308.0,2022-01-24T16:55:15.054Z,rightTorque,116.34525000000002,Track and Field
114502308.0,2022-01-24T16:55:15.054Z,rightCalibration,0.0,Track and Field
114502308.0,2022-01-24T16:55:15.054Z,leftRepetitions,4.0,Track and Field
114502308.0,2022-01-24T16:55:15.054Z,rightRepetitions,4.0,Track and Field
114502308.0,2022-01-12T17:12:50.085Z,leftAvgForce,248.91666666666663,Track and Field
114502308.0,2022-01-12T17:12:50.085Z,leftImpulse,3790.2800000000025,Track and Field
114502308.0,2022-01-12T17:12:50.085Z,leftMaxForce,256.25,Track and Field
114502308.0,2022-01-12T17:12:50.085Z,leftTorque,95.709375,Track and Field
114502308.0,2022-01-12T17:12:50.085Z,leftCalibration,0.0,Track and Field
114502308.0,2022-01-12T17:12:50.085Z,rightAvgForce,261.0,Track and Field
114502308.0,2022-01-12T17:12:50.085Z,rightImpulse,3527.844999999996,Track and Field
114502308.0,2022-01-12T17:12:50.085Z,rightMaxForce,279.25,Track and Field
114502308.0,2022-01-12T17:12:50.085Z,rightTorque,104.299875,Track and Field
114502308.0,2022-01-12T17:12:50.085Z,rightCalibration,0.0,Track and Field
114502308.0,2022-01-12T17:12:50.085Z,leftRepetitions,3.0,Track and Field
114502308.0,2022-01-12T17:12:50.085Z,rightRepetitions,3.0,Track and Field
114502308.0,2022-02-21T17:02:54.155Z,leftAvgForce,307.16666666666663,Track and Field
114502308.0,2022-02-21T17:02:54.155Z,leftImpulse,4572.380000000005,Track and Field
114502308.0,2022-02-21T17:02:54.155Z,leftMaxForce,314.75,Track and Field
114502308.0,2022-02-21T17:02:54.155Z,leftTorque,117.55912500000002,Track and Field
114502308.0,2022-02-21T17:02:54.155Z,leftCalibration,0.0,Track and Field
114502308.0,2022-02-21T17:02:54.155Z,rightAvgForce,328.8333333333333,Track and Field
114502308.0,2022-02-21T17:02:54.155Z,rightImpulse,4163.784999999997,Track and Field
114502308.0,2022-02-21T17:02:54.155Z,rightMaxForce,340.75,Track and Field
114502308.0,2022-02-21T17:02:54.155Z,rightTorque,127.27012500000002,Track and Field
114502308.0,2022-02-21T17:02:54.155Z,rightCalibration,0.0,Track and Field
114502308.0,2022-02-21T17:02:54.155Z,leftRepetitions,3.0,Track and Field
114502308.0,2022-02-21T17:02:54.155Z,rightRepetitions,3.0,Track and Field
114502308.0,2022-02-07T17:00:01.614Z,leftAvgForce,296.1666666666667,Track and Field
114502308.0,2022-02-07T17:00:01.614Z,leftImpulse,5456.294999999997,Track and Field
114502308.0,2022-02-07T17:00:01.614Z,leftMaxForce,304.5,Track and Field
114502308.0,2022-02-07T17:00:01.614Z,leftTorque,113.73075,Track and Field
114502308.0,2022-02-07T17:00:01.614Z,leftCalibration,0.0,Track and Field
114502308.0,2022-02-07T17:00:01.614Z,rightAvgForce,306.5833333333333,Track and Field
114502308.0,2022-02-07T17:00:01.614Z,rightImpulse,4654.559999999998,Track and Field
114502308.0,2022-02-07T17:00:01.614Z,rightMaxForce,312.25,Track and Field
114502308.0,2022-02-07T17:00:01.614Z,rightTorque,116.62537500000002,Track and Field
114502308.0,2022-02-07T17:00:01.614Z,rightCalibration,0.0,Track and Field
114502308.0,2022-02-07T17:00:01.614Z,leftRepetitions,3.0,Track and Field
114502308.0,2022-02-07T17:00:01.614Z,rightRepetitions,3.0,Track and Field
114502308.0,2022-03-21T16:01:00.233Z,leftAvgForce,300.0833333333333,Track and Field
114502308.0,2022-03-21T16:01:00.233Z,leftImpulse,4530.605000000002,Track and Field
114502308.0,2022-03-21T16:01:00.233Z,leftMaxForce,310.0,Track and Field
114502308.0,2022-03-21T16:01:00.233Z,leftTorque,115.785,Track and Field
114502308.0,2022-03-21T16:01:00.233Z,leftCalibration,0.0,Track and Field
114502308.0,2022-03-21T16:01:00.233Z,rightAvgForce,299.5,Track and Field
114502308.0,2022-03-21T16:01:00.233Z,rightImpulse,4155.494999999999,Track and Field
114502308.0,2022-03-21T16:01:00.233Z,rightMaxForce,306.5,Track and Field
114502308.0,2022-03-21T16:01:00.233Z,rightTorque,114.47775,Track and Field
114502308.0,2022-03-21T16:01:00.233Z,rightCalibration,0.0,Track and Field
114502308.0,2022-03-21T16:01:00.233Z,leftRepetitions,3.0,Track and Field
114502308.0,2022-03-21T16:01:00.233Z,rightRepetitions,3.0,Track and Field
114502308.0,2022-04-04T15:54:40.719Z,leftAvgForce,357.5,Track and Field
114502308.0,2022-04-04T15:54:40.719Z,leftImpulse,2092.6200000000013,Track and Field
114502308.0,2022-04-04T15:54:40.719Z,leftMaxForce,357.5,Track and Field
114502308.0,2022-04-04T15:54:40.719Z,leftTorque,133.52625000000003,Track and Field
114502308.0,2022-04-04T15:54:40.719Z,leftCalibration,0.0,Track and Field
114502308.0,2022-04-04T15:54:40.719Z,rightAvgForce,349.0,Track and Field
114502308.0,2022-04-04T15:54:40.719Z,rightImpulse,1805.449999999999,Track and Field
114502308.0,2022-04-04T15:54:40.719Z,rightMaxForce,349.0,Track and Field
114502308.0,2022-04-04T15:54:40.719Z,rightTorque,130.35150000000002,Track and Field
114502308.0,2022-04-04T15:54:40.719Z,rightCalibration,0.0,Track and Field
114502308.0,2022-04-04T15:54:40.719Z,leftRepetitions,1.0,Track and Field
114502308.0,2022-04-04T15:54:40.719Z,rightRepetitions,1.0,Track and Field
114502308.0,2022-11-21T15:33:47.808Z,leftAvgForce,298.0833333333333,Track and Field
