sbuid,testDateUtc,metric,value,sbu_sport
116027245.0,2023-06-14T16:56:54.202Z,leftAvgForce,407.08333333333337,Womens Basketball
116027245.0,2023-06-14T16:56:54.202Z,leftImpulse,8863.505000000001,Womens Basketball
116027245.0,2023-06-14T16:56:54.202Z,leftMaxForce,422.5,Womens Basketball
116027245.0,2023-06-14T16:56:54.202Z,leftTorque,195.82875,Womens Basketball
116027245.0,2023-06-14T16:56:54.202Z,leftCalibration,0.0,Womens Basketball
116027245.0,2023-06-14T16:56:54.202Z,rightAvgForce,388.5833333333333,Womens Basketball
116027245.0,2023-06-14T16:56:54.202Z,rightImpulse,7285.809999999999,Womens Basketball
116027245.0,2023-06-14T16:56:54.202Z,rightMaxForce,400.25,Womens Basketball
116027245.0,2023-06-14T16:56:54.202Z,rightTorque,185.515875,Womens Basketball
116027245.0,2023-06-14T16:56:54.202Z,rightCalibration,0.0,Womens Basketball
116027245.0,2023-06-14T16:56:54.202Z,leftRepetitions,3.0,Womens Basketball
116027245.0,2023-06-14T16:56:54.202Z,rightRepetitions,3.0,Womens Basketball
116027245.0,2023-07-18T16:46:40.011Z,leftAvgForce,264.625,Womens Basketball
116027245.0,2023-07-18T16:46:40.011Z,leftImpulse,1286.9200000000003,Womens Basketball
116027245.0,2023-07-18T16:46:40.011Z,leftMaxForce,273.0,Womens Basketball
116027245.0,2023-07-18T16:46:40.011Z,leftTorque,126.5355,Womens Basketball
116027245.0,2023-07-18T16:46:40.011Z,leftCalibration,0.0,Womens Basketball
116027245.0,2023-07-18T16:46:40.011Z,rightAvgForce,236.0,Womens Basketball
116027245.0,2023-07-18T16:46:40.011Z,rightImpulse,929.865,Womens Basketball
116027245.0,2023-07-18T16:46:40.011Z,rightMaxForce,242.75,Womens Basketball
116027245.0,2023-07-18T16:46:40.011Z,rightTorque,112.514625,Womens Basketball
116027245.0,2023-07-18T16:46:40.011Z,rightCalibration,0.0,Womens Basketball
116027245.0,2023-07-18T16:46:40.011Z,leftRepetitions,2.0,Womens Basketball
116027245.0,2023-07-18T16:46:40.011Z,rightRepetitions,2.0,Womens Basketball
