sbuid,testDateUtc,metric,value,sbu_sport
115353295.0,2023-07-19T13:20:40.378Z,leftAvgForce,167.875,Womens Soccer
115353295.0,2023-07-19T13:20:40.378Z,leftImpulse,954.5600000000004,Womens Soccer
115353295.0,2023-07-19T13:20:40.378Z,leftMaxForce,171.5,Womens Soccer
115353295.0,2023-07-19T13:20:40.378Z,leftTorque,68.68575,Womens Soccer
115353295.0,2023-07-19T13:20:40.378Z,leftCalibration,0.0,Womens Soccer
115353295.0,2023-07-19T13:20:40.378Z,rightAvgForce,177.5,Womens Soccer
115353295.0,2023-07-19T13:20:40.378Z,rightImpulse,934.2049999999996,Womens Soccer
115353295.0,2023-07-19T13:20:40.378Z,rightMaxForce,193.75,Womens Soccer
115353295.0,2023-07-19T13:20:40.378Z,rightTorque,77.59687500000001,Womens Soccer
115353295.0,2023-07-19T13:20:40.378Z,rightCalibration,0.0,Womens Soccer
115353295.0,2023-07-19T13:20:40.378Z,leftRepetitions,2.0,Womens Soccer
115353295.0,2023-07-19T13:20:40.378Z,rightRepetitions,2.0,Womens Soccer
115353295.0,2023-07-17T13:05:51.872Z,leftAvgForce,204.375,Womens Soccer
115353295.0,2023-07-17T13:05:51.872Z,leftImpulse,1909.305,Womens Soccer
115353295.0,2023-07-17T13:05:51.872Z,leftMaxForce,247.25,Womens Soccer
115353295.0,2023-07-17T13:05:51.872Z,leftTorque,99.023625,Womens Soccer
115353295.0,2023-07-17T13:05:51.872Z,leftCalibration,0.0,Womens Soccer
115353295.0,2023-07-17T13:05:51.872Z,rightAvgForce,188.0,Womens Soccer
115353295.0,2023-07-17T13:05:51.872Z,rightImpulse,2262.6550000000007,Womens Soccer
115353295.0,2023-07-17T13:05:51.872Z,rightMaxForce,189.5,Womens Soccer
115353295.0,2023-07-17T13:05:51.872Z,rightTorque,75.89475,Womens Soccer
115353295.0,2023-07-17T13:05:51.872Z,rightCalibration,0.0,Womens Soccer
115353295.0,2023-07-17T13:05:51.872Z,leftRepetitions,2.0,Womens Soccer
115353295.0,2023-07-17T13:05:51.872Z,rightRepetitions,2.0,Womens Soccer
115353295.0,2023-08-15T13:31:49.234Z,leftAvgForce,151.25,Womens Soccer
115353295.0,2023-08-15T13:31:49.234Z,leftImpulse,676.1799999999998,Womens Soccer
115353295.0,2023-08-15T13:31:49.234Z,leftMaxForce,151.25,Womens Soccer
115353295.0,2023-08-15T13:31:49.234Z,leftTorque,60.575625,Womens Soccer
115353295.0,2023-08-15T13:31:49.234Z,leftCalibration,0.0,Womens Soccer
115353295.0,2023-08-15T13:31:49.234Z,rightAvgForce,151.5,Womens Soccer
115353295.0,2023-08-15T13:31:49.234Z,rightImpulse,617.225,Womens Soccer
115353295.0,2023-08-15T13:31:49.234Z,rightMaxForce,151.5,Womens Soccer
115353295.0,2023-08-15T13:31:49.234Z,rightTorque,60.67575,Womens Soccer
115353295.0,2023-08-15T13:31:49.234Z,rightCalibration,0.0,Womens Soccer
115353295.0,2023-08-15T13:31:49.234Z,leftRepetitions,1.0,Womens Soccer
115353295.0,2023-08-15T13:31:49.234Z,rightRepetitions,1.0,Womens Soccer
115353295.0,2023-11-16T17:18:32.739Z,leftAvgForce,261.5,Womens Soccer
115353295.0,2023-11-16T17:18:32.739Z,leftImpulse,3906.13,Womens Soccer
115353295.0,2023-11-16T17:18:32.739Z,leftMaxForce,298.25,Womens Soccer
115353295.0,2023-11-16T17:18:32.739Z,leftTorque,119.449125,Womens Soccer
115353295.0,2023-11-16T17:18:32.739Z,leftCalibration,0.0,Womens Soccer
115353295.0,2023-11-16T17:18:32.739Z,rightAvgForce,241.0833333333333,Womens Soccer
115353295.0,2023-11-16T17:18:32.739Z,rightImpulse,3774.079999999998,Womens Soccer
115353295.0,2023-11-16T17:18:32.739Z,rightMaxForce,282.5,Womens Soccer
115353295.0,2023-11-16T17:18:32.739Z,rightTorque,113.14125,Womens Soccer
115353295.0,2023-11-16T17:18:32.739Z,rightCalibration,0.0,Womens Soccer
115353295.0,2023-11-16T17:18:32.739Z,leftRepetitions,3.0,Womens Soccer
115353295.0,2023-11-16T17:18:32.739Z,rightRepetitions,3.0,Womens Soccer
115353295.0,2024-04-03T17:45:49.670Z,leftAvgForce,241.625,Womens Soccer
115353295.0,2024-04-03T17:45:49.670Z,leftImpulse,2256.134999999999,Womens Soccer
115353295.0,2024-04-03T17:45:49.670Z,leftMaxForce,245.5,Womens Soccer
115353295.0,2024-04-03T17:45:49.670Z,leftTorque,98.32275,Womens Soccer
115353295.0,2024-04-03T17:45:49.670Z,leftCalibration,0.0,Womens Soccer
115353295.0,2024-04-03T17:45:49.670Z,rightAvgForce,234.25,Womens Soccer
115353295.0,2024-04-03T17:45:49.670Z,rightImpulse,2171.7000000000007,Womens Soccer
115353295.0,2024-04-03T17:45:49.670Z,rightMaxForce,243.0,Womens Soccer
115353295.0,2024-04-03T17:45:49.670Z,rightTorque,97.3215,Womens Soccer
115353295.0,2024-04-03T17:45:49.670Z,rightCalibration,0.0,Womens Soccer
115353295.0,2024-04-03T17:45:49.670Z,leftRepetitions,2.0,Womens Soccer
115353295.0,2024-04-03T17:45:49.670Z,rightRepetitions,2.0,Womens Soccer
114514817.0,2022-07-19T12:17:29.087Z,leftAvgForce,273.5833333333333,Womens Soccer
114514817.0,2022-07-19T12:17:29.087Z,leftImpulse,3264.3099999999986,Womens Soccer
114514817.0,2022-07-19T12:17:29.087Z,leftMaxForce,285.0,Womens Soccer
114514817.0,2022-07-19T12:17:29.087Z,leftTorque,109.0125,Womens Soccer
114514817.0,2022-07-19T12:17:29.087Z,leftCalibration,0.0,Womens Soccer
114514817.0,2022-07-19T12:17:29.087Z,rightAvgForce,290.0,Womens Soccer
