sbuid,testDateUtc,metric,value,sbu_sport
113143348.0,2022-07-29T11:12:41.677Z,leftAvgForce,313.66666666666663,Womens Volleyball
113143348.0,2022-07-29T11:12:41.677Z,leftImpulse,3824.559999999998,Womens Volleyball
113143348.0,2022-07-29T11:12:41.677Z,leftMaxForce,329.25,Womens Volleyball
113143348.0,2022-07-29T11:12:41.677Z,leftTorque,143.717625,Womens Volleyball
113143348.0,2022-07-29T11:12:41.677Z,leftCalibration,0.0,Womens Volleyball
113143348.0,2022-07-29T11:12:41.677Z,rightAvgForce,304.5833333333333,Womens Volleyball
113143348.0,2022-07-29T11:12:41.677Z,rightImpulse,3594.889999999996,Womens Volleyball
113143348.0,2022-07-29T11:12:41.677Z,rightMaxForce,319.0,Womens Volleyball
113143348.0,2022-07-29T11:12:41.677Z,rightTorque,139.2435,Womens Volleyball
113143348.0,2022-07-29T11:12:41.677Z,rightCalibration,0.0,Womens Volleyball
113143348.0,2022-07-29T11:12:41.677Z,leftRepetitions,3.0,Womens Volleyball
113143348.0,2022-07-29T11:12:41.677Z,rightRepetitions,3.0,Womens Volleyball
113143348.0,2022-07-06T11:19:03.833Z,leftAvgForce,310.5,Womens Volleyball
113143348.0,2022-07-06T11:19:03.833Z,leftImpulse,3110.715000000002,Womens Volleyball
113143348.0,2022-07-06T11:19:03.833Z,leftMaxForce,330.5,Womens Volleyball
113143348.0,2022-07-06T11:19:03.833Z,leftTorque,144.26325,Womens Volleyball
113143348.0,2022-07-06T11:19:03.833Z,leftCalibration,0.0,Womens Volleyball
113143348.0,2022-07-06T11:19:03.833Z,rightAvgForce,307.8333333333333,Womens Volleyball
113143348.0,2022-07-06T11:19:03.833Z,rightImpulse,2928.274999999998,Womens Volleyball
113143348.0,2022-07-06T11:19:03.833Z,rightMaxForce,328.0,Womens Volleyball
113143348.0,2022-07-06T11:19:03.833Z,rightTorque,143.172,Womens Volleyball
113143348.0,2022-07-06T11:19:03.833Z,rightCalibration,0.0,Womens Volleyball
113143348.0,2022-07-06T11:19:03.833Z,leftRepetitions,3.0,Womens Volleyball
113143348.0,2022-07-06T11:19:03.833Z,rightRepetitions,3.0,Womens Volleyball
113143348.0,2022-08-09T21:08:57.827Z,leftAvgForce,289.0,Womens Volleyball
113143348.0,2022-08-09T21:08:57.827Z,leftImpulse,3954.6899999999982,Womens Volleyball
113143348.0,2022-08-09T21:08:57.827Z,leftMaxForce,294.5,Womens Volleyball
113143348.0,2022-08-09T21:08:57.827Z,leftTorque,128.54925,Womens Volleyball
113143348.0,2022-08-09T21:08:57.827Z,leftCalibration,0.0,Womens Volleyball
113143348.0,2022-08-09T21:08:57.827Z,rightAvgForce,298.16666666666663,Womens Volleyball
113143348.0,2022-08-09T21:08:57.827Z,rightImpulse,4045.5299999999993,Womens Volleyball
113143348.0,2022-08-09T21:08:57.827Z,rightMaxForce,301.75,Womens Volleyball
113143348.0,2022-08-09T21:08:57.827Z,rightTorque,131.713875,Womens Volleyball
113143348.0,2022-08-09T21:08:57.827Z,rightCalibration,0.0,Womens Volleyball
113143348.0,2022-08-09T21:08:57.827Z,leftRepetitions,3.0,Womens Volleyball
113143348.0,2022-08-09T21:08:57.827Z,rightRepetitions,3.0,Womens Volleyball
113143348.0,2022-09-06T18:08:40.695Z,leftAvgForce,224.33333333333331,Womens Volleyball
113143348.0,2022-09-06T18:08:40.695Z,leftImpulse,3515.6449999999986,Womens Volleyball
113143348.0,2022-09-06T18:08:40.695Z,leftMaxForce,278.75,Womens Volleyball
113143348.0,2022-09-06T18:08:40.695Z,leftTorque,121.674375,Womens Volleyball
113143348.0,2022-09-06T18:08:40.695Z,leftCalibration,0.0,Womens Volleyball
113143348.0,2022-09-06T18:08:40.695Z,rightAvgForce,243.95833333333337,Womens Volleyball
113143348.0,2022-09-06T18:08:40.695Z,rightImpulse,3719.175000000004,Womens Volleyball
113143348.0,2022-09-06T18:08:40.695Z,rightMaxForce,297.0,Womens Volleyball
113143348.0,2022-09-06T18:08:40.695Z,rightTorque,129.6405,Womens Volleyball
113143348.0,2022-09-06T18:08:40.695Z,rightCalibration,0.0,Womens Volleyball
113143348.0,2022-09-06T18:08:40.695Z,leftRepetitions,6.0,Womens Volleyball
113143348.0,2022-09-06T18:08:40.695Z,rightRepetitions,6.0,Womens Volleyball
113143348.0,2023-01-27T20:39:36.500Z,leftAvgForce,246.4375,Womens Volleyball
113143348.0,2023-01-27T20:39:36.500Z,leftImpulse,3141.845,Womens Volleyball
113143348.0,2023-01-27T20:39:36.500Z,leftMaxForce,282.5,Womens Volleyball
113143348.0,2023-01-27T20:39:36.500Z,leftTorque,123.31125,Womens Volleyball
113143348.0,2023-01-27T20:39:36.500Z,leftCalibration,0.0,Womens Volleyball
113143348.0,2023-01-27T20:39:36.500Z,rightAvgForce,290.9375,Womens Volleyball
113143348.0,2023-01-27T20:39:36.500Z,rightImpulse,3554.2350000000024,Womens Volleyball
113143348.0,2023-01-27T20:39:36.500Z,rightMaxForce,316.0,Womens Volleyball
113143348.0,2023-01-27T20:39:36.500Z,rightTorque,137.934,Womens Volleyball
113143348.0,2023-01-27T20:39:36.500Z,rightCalibration,0.0,Womens Volleyball
113143348.0,2023-01-27T20:39:36.500Z,leftRepetitions,4.0,Womens Volleyball
113143348.0,2023-01-27T20:39:36.500Z,rightRepetitions,4.0,Womens Volleyball
113143348.0,2023-02-17T20:39:24.648Z,leftAvgForce,320.5833333333333,Womens Volleyball
113143348.0,2023-02-17T20:39:24.648Z,leftImpulse,3653.550000000001,Womens Volleyball
113143348.0,2023-02-17T20:39:24.648Z,leftMaxForce,329.0,Womens Volleyball
113143348.0,2023-02-17T20:39:24.648Z,leftTorque,143.6085,Womens Volleyball
113143348.0,2023-02-17T20:39:24.648Z,leftCalibration,0.0,Womens Volleyball
113143348.0,2023-02-17T20:39:24.648Z,rightAvgForce,331.25,Womens Volleyball
113143348.0,2023-02-17T20:39:24.648Z,rightImpulse,3899.17,Womens Volleyball
113143348.0,2023-02-17T20:39:24.648Z,rightMaxForce,340.0,Womens Volleyball
113143348.0,2023-02-17T20:39:24.648Z,rightTorque,148.41,Womens Volleyball
113143348.0,2023-02-17T20:39:24.648Z,rightCalibration,0.0,Womens Volleyball
113143348.0,2023-02-17T20:39:24.648Z,leftRepetitions,3.0,Womens Volleyball
113143348.0,2023-02-17T20:39:24.648Z,rightRepetitions,3.0,Womens Volleyball
113143348.0,2023-03-10T20:15:18.752Z,leftAvgForce,314.0,Womens Volleyball
113143348.0,2023-03-10T20:15:18.752Z,leftImpulse,3099.5549999999994,Womens Volleyball
113143348.0,2023-03-10T20:15:18.752Z,leftMaxForce,322.25,Womens Volleyball
113143348.0,2023-03-10T20:15:18.752Z,leftTorque,140.662125,Womens Volleyball
113143348.0,2023-03-10T20:15:18.752Z,leftCalibration,0.0,Womens Volleyball
113143348.0,2023-03-10T20:15:18.752Z,rightAvgForce,333.3333333333333,Womens Volleyball
113143348.0,2023-03-10T20:15:18.752Z,rightImpulse,3592.5200000000004,Womens Volleyball
113143348.0,2023-03-10T20:15:18.752Z,rightMaxForce,341.5,Womens Volleyball
113143348.0,2023-03-10T20:15:18.752Z,rightTorque,149.06475,Womens Volleyball
113143348.0,2023-03-10T20:15:18.752Z,rightCalibration,0.0,Womens Volleyball
113143348.0,2023-03-10T20:15:18.752Z,leftRepetitions,3.0,Womens Volleyball
113143348.0,2023-03-10T20:15:18.752Z,rightRepetitions,3.0,Womens Volleyball
113143348.0,2023-04-27T15:22:11.232Z,leftAvgForce,301.4375,Womens Volleyball
113143348.0,2023-04-27T15:22:11.232Z,leftImpulse,3623.105,Womens Volleyball
113143348.0,2023-04-27T15:22:11.232Z,leftMaxForce,355.25,Womens Volleyball
113143348.0,2023-04-27T15:22:11.232Z,leftTorque,155.066625,Womens Volleyball
113143348.0,2023-04-27T15:22:11.232Z,leftCalibration,0.0,Womens Volleyball
113143348.0,2023-04-27T15:22:11.232Z,rightAvgForce,299.125,Womens Volleyball
113143348.0,2023-04-27T15:22:11.232Z,rightImpulse,3867.290000000001,Womens Volleyball
113143348.0,2023-04-27T15:22:11.232Z,rightMaxForce,355.25,Womens Volleyball
113143348.0,2023-04-27T15:22:11.232Z,rightTorque,155.066625,Womens Volleyball
113143348.0,2023-04-27T15:22:11.232Z,rightCalibration,0.0,Womens Volleyball
113143348.0,2023-04-27T15:22:11.232Z,leftRepetitions,4.0,Womens Volleyball
113143348.0,2023-04-27T15:22:11.232Z,rightRepetitions,4.0,Womens Volleyball
113143348.0,2023-04-03T19:28:00.605Z,leftAvgForce,268.1666666666667,Womens Volleyball
113143348.0,2023-04-03T19:28:00.605Z,leftImpulse,2980.820000000001,Womens Volleyball
113143348.0,2023-04-03T19:28:00.605Z,leftMaxForce,297.75,Womens Volleyball
113143348.0,2023-04-03T19:28:00.605Z,leftTorque,129.967875,Womens Volleyball
