sbuid,testDateUtc,metric,value,sbu_sport
114749404.0,2022-08-26T15:00:20.452Z,leftAvgForce,193.16666666666663,Womes Lax
114749404.0,2022-08-26T15:00:20.452Z,leftImpulse,2445.790000000001,Womes Lax
114749404.0,2022-08-26T15:00:20.452Z,leftMaxForce,195.5,Womes Lax
114749404.0,2022-08-26T15:00:20.452Z,leftTorque,92.37375,Womes Lax
114749404.0,2022-08-26T15:00:20.452Z,leftCalibration,0.0,Womes Lax
114749404.0,2022-08-26T15:00:20.452Z,rightAvgForce,182.58333333333331,Womes Lax
114749404.0,2022-08-26T15:00:20.452Z,rightImpulse,2386.69,Womes Lax
114749404.0,2022-08-26T15:00:20.452Z,rightMaxForce,191.0,Womes Lax
114749404.0,2022-08-26T15:00:20.452Z,rightTorque,90.2475,Womes Lax
114749404.0,2022-08-26T15:00:20.452Z,rightCalibration,0.0,Womes Lax
114749404.0,2022-08-26T15:00:20.452Z,leftRepetitions,3.0,Womes Lax
114749404.0,2022-08-26T15:00:20.452Z,rightRepetitions,3.0,Womes Lax
114749404.0,2022-09-20T13:50:41.807Z,leftAvgForce,220.5,Womes Lax
114749404.0,2022-09-20T13:50:41.807Z,leftImpulse,2512.6299999999987,Womes Lax
114749404.0,2022-09-20T13:50:41.807Z,leftMaxForce,228.25,Womes Lax
114749404.0,2022-09-20T13:50:41.807Z,leftTorque,107.848125,Womes Lax
114749404.0,2022-09-20T13:50:41.807Z,leftCalibration,0.0,Womes Lax
114749404.0,2022-09-20T13:50:41.807Z,rightAvgForce,205.0833333333333,Womes Lax
114749404.0,2022-09-20T13:50:41.807Z,rightImpulse,2479.145,Womes Lax
114749404.0,2022-09-20T13:50:41.807Z,rightMaxForce,209.75,Womes Lax
114749404.0,2022-09-20T13:50:41.807Z,rightTorque,99.106875,Womes Lax
114749404.0,2022-09-20T13:50:41.807Z,rightCalibration,0.0,Womes Lax
114749404.0,2022-09-20T13:50:41.807Z,leftRepetitions,3.0,Womes Lax
114749404.0,2022-09-20T13:50:41.807Z,rightRepetitions,3.0,Womes Lax
114749404.0,2022-09-06T13:57:18.310Z,leftAvgForce,219.75,Womes Lax
114749404.0,2022-09-06T13:57:18.310Z,leftImpulse,2270.5099999999966,Womes Lax
114749404.0,2022-09-06T13:57:18.310Z,leftMaxForce,223.0,Womes Lax
114749404.0,2022-09-06T13:57:18.310Z,leftTorque,99.3465,Womes Lax
114749404.0,2022-09-06T13:57:18.310Z,leftCalibration,0.0,Womes Lax
114749404.0,2022-09-06T13:57:18.310Z,rightAvgForce,184.0,Womes Lax
114749404.0,2022-09-06T13:57:18.310Z,rightImpulse,1877.1400000000003,Womes Lax
114749404.0,2022-09-06T13:57:18.310Z,rightMaxForce,189.25,Womes Lax
114749404.0,2022-09-06T13:57:18.310Z,rightTorque,84.310875,Womes Lax
114749404.0,2022-09-06T13:57:18.310Z,rightCalibration,0.0,Womes Lax
114749404.0,2022-09-06T13:57:18.310Z,leftRepetitions,3.0,Womes Lax
114749404.0,2022-09-06T13:57:18.310Z,rightRepetitions,3.0,Womes Lax
114749404.0,2022-10-04T13:39:45.922Z,leftAvgForce,243.0833333333333,Womes Lax
114749404.0,2022-10-04T13:39:45.922Z,leftImpulse,2504.0,Womes Lax
114749404.0,2022-10-04T13:39:45.922Z,leftMaxForce,259.0,Womes Lax
114749404.0,2022-10-04T13:39:45.922Z,leftTorque,115.3845,Womes Lax
114749404.0,2022-10-04T13:39:45.922Z,leftCalibration,0.0,Womes Lax
114749404.0,2022-10-04T13:39:45.922Z,rightAvgForce,197.5833333333333,Womes Lax
114749404.0,2022-10-04T13:39:45.922Z,rightImpulse,2100.4300000000007,Womes Lax
114749404.0,2022-10-04T13:39:45.922Z,rightMaxForce,209.0,Womes Lax
114749404.0,2022-10-04T13:39:45.922Z,rightTorque,93.1095,Womes Lax
114749404.0,2022-10-04T13:39:45.922Z,rightCalibration,0.0,Womes Lax
114749404.0,2022-10-04T13:39:45.922Z,leftRepetitions,3.0,Womes Lax
114749404.0,2022-10-04T13:39:45.922Z,rightRepetitions,3.0,Womes Lax
114749404.0,2022-11-17T15:07:32.622Z,leftAvgForce,264.3333333333333,Womes Lax
114749404.0,2022-11-17T15:07:32.622Z,leftImpulse,2452.7849999999994,Womes Lax
114749404.0,2022-11-17T15:07:32.622Z,leftMaxForce,276.75,Womes Lax
114749404.0,2022-11-17T15:07:32.622Z,leftTorque,123.292125,Womes Lax
114749404.0,2022-11-17T15:07:32.622Z,leftCalibration,0.0,Womes Lax
114749404.0,2022-11-17T15:07:32.622Z,rightAvgForce,229.25,Womes Lax
114749404.0,2022-11-17T15:07:32.622Z,rightImpulse,2212.419999999999,Womes Lax
114749404.0,2022-11-17T15:07:32.622Z,rightMaxForce,242.5,Womes Lax
114749404.0,2022-11-17T15:07:32.622Z,rightTorque,108.03375,Womes Lax
114749404.0,2022-11-17T15:07:32.622Z,rightCalibration,0.0,Womes Lax
114749404.0,2022-11-17T15:07:32.622Z,leftRepetitions,3.0,Womes Lax
114749404.0,2022-11-17T15:07:32.622Z,rightRepetitions,3.0,Womes Lax
