Feature,Importance
days_between_tests,0.45794518732139716
ForceSymmetry,0.07311863453161668
ImpulseSymmetry,0.06611870063045938
leftImpulse,0.05115072323439015
rightImpulse,0.04780971067599957
leftAvgForce,0.037870244751818674
leftTorque,0.037813610491118636
leftMaxForce,0.037421111057864914
rightTorque,0.03736755983177421
rightAvgForce,0.03707272911655979
rightMaxForce,0.036933912160425075
sport_football,0.01699863167849636
sport_combined,0.012961401521905962
sport_womes lax,0.012826505026372273
sport_mens lax,0.0070352549607413375
sport_baseball,0.006105410965755831
sport_womens basketball,0.0044448275011271235
sport_womens volleyball,0.004143336485095437
sport_softball,0.003586580534943787
sport_womens soccer,0.0035203199376968274
sport_mens soccer,0.002472581371950503
sport_track and field,0.002320088514685397
sport_mens basketball,0.0022767216183579536
sport_tennis,0.0006862160794470338
