,count,mean,std,min,25%,50%,75%,max,missing,missing_percentage
leftAvgForce,6372.0,365.85615817340744,106.30952880373975,39.0,284.25,352.41666666666663,437.375,751.625,0,0.0
leftImpulse,6372.0,4344.506629001883,2455.4933648691363,16.040000000000003,2390.2150000000006,3948.705,5793.590000000002,17412.329999999998,0,0.0
leftMaxForce,6372.0,384.4244350282486,108.7970868734245,39.0,301.75,374.125,457.75,774.5,0,0.0
leftTorque,6372.0,168.50387040960453,54.010607392176084,16.3215,126.9585,160.5628125,204.525,389.892375,0,0.0
rightAvgForce,6372.0,351.06498893970644,101.06574895090449,60.75,274.75,340.7083333333333,424.4166666666666,772.25,0,0.0
rightImpulse,6372.0,4093.598722536095,2367.822788197091,12.095,2230.884999999999,3721.3050000000003,5475.090000000002,15213.509999999997,0,0.0
rightMaxForce,6372.0,369.5271500313873,103.98896141978723,60.75,290.0,362.0,446.0,772.25,0,0.0
rightTorque,6372.0,162.0044343220339,51.633991190032475,27.129375000000003,122.515875,155.2336875,198.055125,357.937875,0,0.0
ForceSymmetry,6372.0,1.0477012837794504,0.12557416440261165,0.7342279378893096,0.9664761904761906,1.0401780291802212,1.123003194888179,1.3542642982743716,0,0.0
ImpulseSymmetry,6372.0,1.0807436120751248,0.1654386822149337,0.6743931279226181,0.9737116835717956,1.0635455016711601,1.1760330887391126,1.4730845983058116,0,0.0
