Feature,Importance
days_between_tests,0.2782828147347852
ImpulseSymmetry,0.1096344267745519
ForceSymmetry,0.08953145862927693
leftImpulse,0.07445891647735617
rightImpulse,0.06872236408735097
leftAvgForce,0.0465174263182795
leftMaxForce,0.04571361979666381
rightMaxForce,0.04542465199970095
rightAvgForce,0.044875951293420244
rightTorque,0.04236877550086603
leftTorque,0.040635434162150305
sport_combined,0.030118406018236184
sport_football,0.020863795158936365
sport_womes lax,0.014577215483650853
sport_womens volleyball,0.00769201079594703
sport_baseball,0.006843336196633782
sport_mens lax,0.0067258954742005035
sport_womens basketball,0.00607499271219105
sport_mens soccer,0.005982051430041001
sport_mens basketball,0.005730354134080923
sport_womens soccer,0.004430568160855384
sport_softball,0.0022338867847901517
sport_track and field,0.0015822662062872264
sport_tennis,0.0009793816697475784
