Sport,Model,Accuracy,Precision,Recall,F1,ROC AUC,CV Mean ROC AUC,CV Std ROC AUC,Sample Size,Asymmetry Rate
combined,RF_No_Balancing,1.0,1.0,1.0,1.0,1.0,0.999997973370083,4.053259834257972e-06,3186,41.80790960451977
combined,RF_with_SMOTE,1.0,1.0,1.0,1.0,1.0,0.999997973370083,4.053259834257972e-06,3186,41.80790960451977
combined,RF_with_SMOTEENN,0.9968652037617555,0.9925650557620818,1.0,0.996268656716418,0.9999999999999999,0.999997973370083,4.053259834257972e-06,3186,41.80790960451977
combined,RF_with_Class_Weights,1.0,1.0,1.0,1.0,1.0,0.9999959467401658,8.106519668427126e-06,3186,41.80790960451977
football,RF_No_Balancing,1.0,1.0,1.0,1.0,1.0,1.0,4.965068306494546e-17,972,41.76954732510288
football,RF_with_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,4.965068306494546e-17,972,41.76954732510288
football,RF_with_SMOTEENN,0.9641025641025641,0.9868421052631579,0.9259259259259259,0.9554140127388535,0.9924193199047,1.0,4.965068306494546e-17,972,41.76954732510288
football,RF_with_Class_Weights,1.0,1.0,1.0,1.0,1.0,1.0,4.965068306494546e-17,972,41.76954732510288
womes lax,RF_No_Balancing,1.0,1.0,1.0,1.0,1.0,1.0,0.0,429,51.28205128205128
womes lax,RF_with_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,0.0,429,51.28205128205128
womes lax,RF_with_SMOTEENN,0.9534883720930233,1.0,0.9090909090909091,0.9523809523809523,0.9688852813852813,1.0,0.0,429,51.28205128205128
womes lax,RF_with_Class_Weights,1.0,1.0,1.0,1.0,1.0,1.0,0.0,429,51.28205128205128
mens soccer,RF_No_Balancing,1.0,1.0,1.0,1.0,1.0,0.9980911983032874,0.0038176033934252725,321,35.82554517133956
mens soccer,RF_with_SMOTE,1.0,1.0,1.0,1.0,1.0,0.9980911983032874,0.0038176033934252725,321,35.82554517133956
mens soccer,RF_with_SMOTEENN,0.9692307692307692,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9989648033126295,0.9980911983032874,0.0038176033934252725,321,35.82554517133956
mens soccer,RF_with_Class_Weights,1.0,1.0,1.0,1.0,1.0,0.997879109225875,0.0042417815482502785,321,35.82554517133956
womens soccer,RF_No_Balancing,1.0,1.0,1.0,1.0,1.0,1.0,0.0,316,37.0253164556962
womens soccer,RF_with_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,0.0,316,37.0253164556962
womens soccer,RF_with_SMOTEENN,0.90625,0.8461538461538461,0.9166666666666666,0.88,0.9609375,1.0,0.0,316,37.0253164556962
womens soccer,RF_with_Class_Weights,1.0,1.0,1.0,1.0,1.0,1.0,0.0,316,37.0253164556962
womens basketball,RF_No_Balancing,1.0,1.0,1.0,1.0,1.0,1.0,0.0,242,48.34710743801653
womens basketball,RF_with_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,0.0,242,48.34710743801653
womens basketball,RF_with_SMOTEENN,0.8979591836734694,0.8518518518518519,0.9583333333333334,0.9019607843137255,0.98,1.0,0.0,242,48.34710743801653
womens basketball,RF_with_Class_Weights,1.0,1.0,1.0,1.0,1.0,1.0,0.0,242,48.34710743801653
mens lax,RF_No_Balancing,1.0,1.0,1.0,1.0,1.0,1.0,0.0,215,44.651162790697676
mens lax,RF_with_SMOTE,1.0,1.0,1.0,1.0,1.0,1.0,0.0,215,44.651162790697676
mens lax,RF_with_SMOTEENN,0.9534883720930233,1.0,0.8947368421052632,0.9444444444444444,0.9692982456140351,1.0,0.0,215,44.651162790697676
mens lax,RF_with_Class_Weights,1.0,1.0,1.0,1.0,1.0,1.0,4.965068306494546e-17,215,44.651162790697676
baseball,RF_No_Balancing,1.0,1.0,1.0,1.0,1.0,0.9989417989417989,0.0021164021164021387,205,34.63414634146341
baseball,RF_with_SMOTE,1.0,1.0,1.0,1.0,1.0,0.9989417989417989,0.0021164021164021387,205,34.63414634146341
baseball,RF_with_SMOTEENN,0.9024390243902439,0.9166666666666666,0.7857142857142857,0.8461538461538461,0.8558201058201058,0.9989417989417989,0.0021164021164021387,205,34.63414634146341
baseball,RF_with_Class_Weights,1.0,1.0,1.0,1.0,1.0,0.9986772486772487,0.002645502645502651,205,34.63414634146341
