Sport,Model,Sample_Size,Accuracy,Precision,Recall,F1
baseball,RF_baseball,205,0.9512195121951219,0.875,1.0,0.9333333333333333
womes lax,RF_womes_lax,429,0.8953488372093024,0.9487179487179487,0.8409090909090909,0.891566265060241
combined,RF_combined,3186,0.9028213166144201,0.8838951310861424,0.8838951310861424,0.8838951310861424
softball,RF_softball,94,0.8947368421052632,1.0,0.7777777777777778,0.875
womens basketball,RF_womens_basketball,242,0.8775510204081632,1.0,0.75,0.8571428571428571
womens soccer,RF_womens_soccer,316,0.890625,0.8695652173913043,0.8333333333333334,0.851063829787234
football,RF_football,972,0.8717948717948718,0.8589743589743589,0.8271604938271605,0.8427672955974843
mens lax,RF_mens_lax,215,0.8372093023255814,0.75,0.9473684210526315,0.8372093023255814
mens soccer,RF_mens_soccer,321,0.8769230769230769,0.8,0.8695652173913043,0.8333333333333334
mens basketball,RF_mens_basketball,144,0.8620689655172413,0.8181818181818182,0.8181818181818182,0.8181818181818182
womens volleyball,RF_womens_volleyball,124,0.8,0.6363636363636364,0.875,0.7368421052631579
track and field,RF_track_and_field,87,0.8333333333333334,0.8,0.6666666666666666,0.7272727272727273
