feature,f_statistic,p_value,significant,highest_team,lowest_team,highest_value,lowest_value,percent_difference
rightTorque,146.21275353592054,0.0,True,football,tennis,201.38032060185185,108.45298928571428,85.6844351900019
leftTorque,145.0003529323395,1.33e-322,True,football,tennis,211.14865277777778,114.0190392857143,85.18718812274106
rightMaxForce,139.00898242074445,2.32007324986213e-310,True,football,tennis,448.50797325102883,259.09285714285716,73.10703899634447
leftMaxForce,136.52689290775103,2.933493898665865e-305,True,football,tennis,470.1414609053498,272.47857142857146,72.54254470010476
rightAvgForce,134.1038675992534,2.9219974822983632e-300,True,football,tennis,426.6471257716049,246.56547619047618,73.03603584875464
leftAvgForce,128.59660577431407,7.80344472110006e-289,True,football,tennis,446.73971836419753,261.9214285714286,70.56249303495501
rightImpulse,44.46554640984786,4.233991792303645e-102,True,football,tennis,5216.058539094651,2286.356714285714,128.13843992511954
leftImpulse,42.08702215651735,1.7646597794836726e-96,True,football,tennis,5506.2994650205765,2435.070857142857,126.12481476129548
days_since_first_test,13.580948867565406,3.2185961070256904e-28,True,football,track and field,373.1738683127572,137.35632183908046,171.6830673071956
ImpulseSymmetry,5.443451767304504,2.6812053169745872e-09,True,softball,mens soccer,1.1692469515227717,1.0393231235096922,12.500811833603723
MaxForceSymmetry,4.259059700195308,9.527849447280253e-07,True,softball,mens soccer,1.0653105939861136,1.0066571030973206,5.826561071125981
TorqueSymmetry,4.259059700195303,9.527849447280253e-07,True,softball,mens soccer,1.0653105939861136,1.0066571030973206,5.826561071125981
ForceSymmetry,4.004851796337962,3.2338101996524696e-06,True,tennis,mens soccer,1.0671488357869598,1.009033618030795,5.75949271834778
